"","dLogLik","dAICc","df","weight"
"mo_area_floresta",3.04478432697917,0,2,0.507462628107616
"mo_dist_floresta_lago",2.96463865497287,0.160291344012606,2,0.468378812535312
"mo_borda_lagoas",0,6.08956865395834,2,0.0241585593570721
